,acc,other3set,acc_othercog,other3set_othercog
AA Metab (384),161,223,2188,2246
Transl (174),60,114,2289,2355
Gen Func (718),345,373,2004,2096
Energy (329),146,183,2203,2286
Transcription (380),198,182,2151,2287
Lipid Metab (418),215,203,2134,2266
Func Unk (336),168,168,2181,2301
Replic Repair (274),129,145,2220,2324
Post Trans Mod (128),54,74,2295,2395
Carb Metab (230),121,109,2228,2360
Ion Trans (377),212,165,2137,2304
Coenz Trans (164),87,77,2262,2392
Nuc Metab (81),33,48,2316,2421
Cell Wall (187),91,96,2258,2373
Second Metab (328),169,159,2180,2310
Signal Trans (125),65,60,2284,2409
Intracell Traff (43),17,26,2332,2443
Defense (100),58,42,2291,2427
Cell Cycle (42),20,22,2329,2447
