,soft,other3set,soft_othercog,other3set_othercog
AA Metab (384),53,331,568,3866
Transl (174),23,151,598,4046
Gen Func (718),103,615,518,3582
Energy (329),44,285,577,3912
Transcription (380),48,332,573,3865
Lipid Metab (418),65,353,556,3844
Func Unk (336),53,283,568,3914
Replic Repair (274),27,247,594,3950
Post Trans Mod (128),13,115,608,4082
Carb Metab (230),27,203,594,3994
Ion Trans (377),42,335,579,3862
Coenz Trans (164),24,140,597,4057
Nuc Metab (81),12,69,609,4128
Cell Wall (187),23,164,598,4033
Second Metab (328),38,290,583,3907
Signal Trans (125),13,112,608,4085
Intracell Traff (43),3,40,618,4157
Defense (100),5,95,616,4102
Cell Cycle (42),5,37,616,4160
